CAMPUS,CAMPNAME,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSBTOFC,CPSBTOPC,CPSETOFC,CPSETOFP,CPSHEXPA,CPSHTENA,CPSLEXPA,CPSLTENA,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSRTOFC,CPSRTOPC,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST21FC,CPST21FP,CPST21SA,CPST30FC,CPST30FP,CPST30SA,CPSTASFC,CPSTASFP,CPSTBAFC,CPSTBAFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTMSFC,CPSTMSFP,CPSTNOFC,CPSTNOFP,CPSTOPFC,CPSTOPFP,CPSTPHFC,CPSTPHFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA,DISTNAME
"'221801075","FOUNDERS CLASSICAL ACADEMY-BASTROP",3.5,25.7,13.6,0,0,2,14.7,0,0,1,1,0,11.6,85.3,0,0,0.9,6.5,76500,4,39,47047,5.3,51.2,50534,0,0,.,1,9.8,50000,0,0,.,0,0,.,0,0,6.5,63.4,0,0,0.1,1,0,0,2.1,6.8,65.9,0,0,2.5,24.4,0,0,10,3.5,34.1,3.8,36.6,0,0,0,0,0,0,0,0,9.3,90.2,1,9.8,0.8,10.3,75.1,49121,1,9.8,0,0,6.6,64.8,0.5,3.7,74586,"TEXAS COLLEGE PREPARATORY ACADEMIES"
"'221801076","ISCHOOL HIGH - ATASCOCITA",1,16.5,6,0,0,0,0,1,1,0,0,0,6,100,1,0,0,0.7,70000,1,20,41313,3,60,54463,1,19.1,70000,0,0.9,48104,0,0,.,0,0,.,0,0,1,20.9,0,0,0,0,0,0,4.5,4,80,0,0,0,0,0,0,18,1,20,4,79.1,0,0,0,0,0,0,0,0,4,80,1,20,1,5,82.7,54744,0,0,0,0,5,100,1,16.5,55584,"TEXAS COLLEGE PREPARATORY ACADEMIES"
"'221801077","FOUNDERS CLASSICAL ACADEMY OF PROSPER",10.5,19.3,54.5,0,0,6,11,2,2,5,5,0,48.5,89,0,0,2,3.7,86500,8,18.6,53519,20.8,48.2,52551,10.2,23.7,54995,3.1,7.3,54580,0,0,.,1,2.3,54723,2,4.6,38.3,89,0,0,1.5,3.5,0,0,4.8,36,83.5,0,0,5,11.6,0,0,17.8,7.1,16.5,4.7,11,0,0,0,0,0,0,0,0,39.6,91.9,3.5,8.1,1.5,43.1,79.1,53507,0,0,0,0,34.6,80.3,3.4,6.2,58583,"TEXAS COLLEGE PREPARATORY ACADEMIES"
"'221801078","QUEST COLLEGIATE ACADEMY-WHITEWRIGHT",2,12.1,16.5,0,0,8.5,51.5,2,2,0,0,0,8,48.5,0,0,1,6.1,60000,1,14.3,43500,5,71.4,40984,1,14.3,43007,0,0,.,0,0,.,0,0,.,0,0,6,85.7,0,0,1,14.3,0,0,2.1,6,85.7,0,0,0,0,0,0,18.9,1,14.3,1,14.3,0,0,0,0,0,0,0,0,5.5,78.6,1.5,21.4,1.4,7,42.4,41633,0,0,0,0,6,85.7,0,0,.,"TEXAS COLLEGE PREPARATORY ACADEMIES"
"'221801079","FOUNDERS CLASSICAL ACADEMY-ONLINE",4.1,24.2,16.9,0,0,0,0,3,1,0,0,0,16.9,100,0,0,1,5.9,85000,0,0,.,7,47.1,53647,6.9,46.2,54352,0,0,.,1,6.7,56193,0,0,.,2,13.5,10.8,72.5,0,0,0,0,0,0,6.3,13.8,92.7,0,0,1.1,7.3,0,0,6.7,1.1,7.3,4,26.9,0,0,0,0,0.1,0.6,0,0,13.2,88.8,1.7,11.2,1.6,14.9,88.1,54144,0,0,0,0,11.8,79.2,1,5.9,61500,"TEXAS COLLEGE PREPARATORY ACADEMIES"
"'221801080","ISCHOOL-CREEKSIDE",2,32.8,6.1,0,0,0,0,1,1,0,0,0,6.1,100,1,0,1,16.4,70000,1,25,55285,1,25,54501,1,25,55584,1,25,58476,0,0,.,0,0,.,0,0,3,75,0,0,0,0,0,0,5.8,3,75,0,0,1,25,0,0,14.2,1,25,1,25,0,0,0,0,0,0,0,0,4,100,0,0,5.3,4,65.7,55962,0,0,0,0,3,75,1.1,17.9,63103,"TEXAS COLLEGE PREPARATORY ACADEMIES"
"'221901001","ABILENE H S",32.2,19.9,161.5,1,0,20.4,12.6,2,2,4,3.5,0,141.1,87.4,6,0,7.1,4.4,85620,5,4.1,52893,28.6,23.2,52382,27.3,22.2,53942,33.7,27.4,60226,22.5,18.3,66342,5.9,4.8,70026,0,0,75.9,61.7,0.3,0.3,4,3.3,0.2,0.2,13,71.1,57.8,0,0,14.9,12.1,0,0,16,51.9,42.2,42,34.2,4,3.3,14.1,11.5,1,0.8,0,0,83.9,68.2,7.9,6.4,8.7,123,76.1,58305,1,0.8,16.5,13.4,103.1,83.8,11.1,6.9,63463,"ABILENE ISD"
"'221901002","COOPER H S",35.2,22.8,154.2,1,0,18.4,12,5,5,4.5,4.5,0,135.7,88,6,0,7.1,4.6,84509,4.9,4.3,50192,21.6,18.7,53546,29.2,25.3,54591,43.3,37.4,59425,11.7,10.1,64098,5,4.3,69263,0,0,74.7,64.6,0.3,0.3,4.9,4.3,2.6,2.3,12,65,56.1,0,0,18.9,16.3,0,0,14.8,50.8,43.9,37.1,32,3.5,3,11.9,10.3,0.5,0.4,0,0,74.1,64,11.4,9.8,8.9,115.7,75.1,57610,2,1.7,15.5,13.4,89.9,77.7,12.9,8.4,66285,"ABILENE ISD"
"'221901003","WOODSON CENTER FOR EXCELLENCE",9,32,28.1,0,0,5,17.7,3,3,0,0,0,23.1,82.3,1,0,1,3.6,94208,0,0,.,4.4,25.7,51819,3,17.6,53867,4.2,24.6,58084,4.5,26.3,64417,1,5.9,67519,0,0,13.4,78.4,0,0,1,5.9,0.1,0.3,14.8,11.5,67.3,0,0,3,17.6,0,0,8.1,5.6,32.7,3.7,21.6,0,0,0,0,0,0,0,0,14.4,84.3,1.2,7,11.3,17.1,60.9,57951,0,0,1.4,8.3,13.1,76.6,5,17.9,59268,"ABILENE ISD"
"'221901006","DAEP",4.9,39.4,12.3,0,0,4.7,38.3,6,6,10,5,0,7.6,61.7,0,0,2,16.2,88821,1,17.8,51000,1.6,28.6,29914,0,0,.,2,35.7,58050,1,17.8,63468,0,0,.,0,0,1.6,28.7,0,0,2,35.6,0,0,10.2,2,35.6,0,0,0,0,0,0,17.7,3.6,64.4,4,71.3,0,0,0,0,0,0,0,0,4.6,82.3,1,17.7,4.5,5.6,45.5,49699,0,0,0,0,3.6,64.4,0,0,.,"ABILENE ISD"
