CAMPUS,CAMPNAME,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSBTOFC,CPSBTOPC,CPSETOFC,CPSETOFP,CPSHEXPA,CPSHTENA,CPSLEXPA,CPSLTENA,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSRTOFC,CPSRTOPC,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST21FC,CPST21FP,CPST21SA,CPST30FC,CPST30FP,CPST30SA,CPSTASFC,CPSTASFP,CPSTBAFC,CPSTBAFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTMSFC,CPSTMSFP,CPSTNOFC,CPSTNOFP,CPSTOPFC,CPSTOPFP,CPSTPHFC,CPSTPHFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA,DISTNAME
"'020901114","GLENN YORK EL",36.7,50.6,72.5,1,0,11.8,16.2,2,2,10,2,0,60.7,83.8,1,0,4,5.5,79542,4.7,9.2,53058,7,13.5,62251,16,30.9,62673,20,38.7,67299,4,7.7,70236,0,0,.,3,5.8,34.7,67.1,0,0,18.7,36.2,0,0,10.2,47.7,92.3,1,1.9,9,17.4,0,0,16.1,4,7.7,15,29,0,0,1,1.9,2,3.9,0,0,40.2,77.8,9.5,18.3,5.8,51.7,71.4,64109,1,1.9,0,0,20,38.6,5,6.9,72329,"ALVIN ISD"
"'020901115","RED DUKE EL",24.7,39,63.4,1,0,14.5,22.9,3,3,1,1,0,48.8,77.1,1,0,4,6.3,74836,3,7.4,53900,11,27.3,61872,13.3,33,63931,12,29.8,67452,1,2.5,69010,0,0,.,3,7.4,30.3,75.2,0,0,5,12.4,0,0,8.5,37.3,92.6,1,2.5,6,14.9,0,0,15.1,3,7.4,10,24.8,0,0,0.4,1.1,0,0,0,0,31.6,78.3,7.3,18.2,3.8,40.3,63.6,63797,1,2.5,0,0,25.3,62.8,4.5,7.1,70523,"ALVIN ISD"
"'020901116","MERIDIANA EL",39.8,54.9,72.4,1,0,13.1,18,12,12,8,8,0,59.3,82,1,0,3.3,4.6,86824,6.8,13.1,54838,10,19.4,59850,18.2,35.2,64150,14,27.1,66958,2.7,5.1,70973,0,0,.,1.8,3.4,35.2,68.2,0,0,20.7,40,0,0,8.4,49.6,96.1,1,1.9,5,9.7,1,1.9,19.2,2,3.9,15.4,29.9,0,0,0.4,0.8,1,1.9,0,0,45,87.2,5.2,10.1,2.4,51.6,71.3,63207,4,7.7,0,0,19.2,37.2,4.3,6,69071,"ALVIN ISD"
"'020901117","SHIRLEY DILL BROTHERS EL",42.7,60.6,70.4,1,0,14.6,20.8,1,1,7,7,0,55.8,79.2,1,0,4,5.7,77201,3,6.3,53967,13,27.2,61842,8.8,18.4,63555,20,41.8,67401,2,4.2,71691,1,2.1,80675,4,8.4,38.8,81.2,0,0,22,46,0,0,10.5,46.8,97.9,1,2.1,3,6.3,0,0,15.1,1,2.1,9,18.8,0,0,1,2.1,0,0,0,0,38.2,79.8,7.7,16,5.2,47.8,67.9,64795,1,2.1,0,0,17.8,37.2,4,5.7,71067,"ALVIN ISD"
"'020901118","POMONA EL",26.7,38.5,69.4,1,0,11.4,16.5,4,4,21,21,0,58,83.5,1,0,2.7,3.9,95357,8,15.5,53045,13,25.3,58409,12,23.4,63626,15.3,29.9,67003,2,3.9,70693,1,1.9,80939,1,1.9,36.9,71.9,0,0,6,11.7,0,0,8.8,48.3,94.1,1,1.9,12.4,24.2,0,0,15.6,3,5.9,13.4,26.2,0,0,0.8,1.5,1,2,0,0,42.5,82.9,7,13.7,4.2,51.3,73.9,62280,0,0,0,0,31.9,62.1,4,5.8,73854,"ALVIN ISD"
"'020901119","BOB AND BETTY NELSON EL",15.9,25.2,63.3,1,0,13.6,21.4,12,12,2,2,0,49.7,78.6,1,0,4,6.3,80697,4,9.7,59385,10,24.3,62216,7,17,63571,14,34,67170,6.2,15,70097,0,0,.,2,4.9,33.2,80.6,0,0,1,2.4,0,0,11.1,37.2,90.3,1,2.4,4,9.7,0,0,15.4,4,9.7,8,19.4,0,0,0.2,0.6,0,0,0,0,33.8,81.9,6.2,15,6.8,41.2,65.1,65040,1,2.4,0,0,33.2,80.6,4.5,7.1,66290,"ALVIN ISD"
"'020901120","BEL NAFEGAR SANCHEZ EL",53.2,69.4,76.7,1,0,17.7,23.1,19,6,2,2,0,59,76.9,1,0,4,5.2,79990,2,4,50300,16,32.3,61997,16,32.3,63635,11,22.2,67440,2.5,5.1,69665,2,4,78623,1,2,37.5,75.8,10.5,21.1,7,14.1,0,0,10.2,45.5,91.9,1,2,26.5,53.5,1,2,15.1,4,8.1,12,24.2,0,0,0.3,0.6,0,0,0,0,31.7,64.1,6,12.1,5.4,49.5,64.6,64322,2,4,0,0,12,24.2,5.5,7.2,71071,"ALVIN ISD"
"'020902001","ANGLETON H S",49.5,30.8,160.8,0,1,17.4,10.8,5,5,2.2,2.2,0,143.4,89.2,6,0,6.8,4.2,79185,22.8,18.2,60492,51.7,41.4,64576,14.9,12,63817,21.6,17.3,70128,13.9,11.2,71215,0,0,.,3,2.4,82.5,66,0.1,0.1,15.7,12.6,0,0,7.4,71.7,57.4,0,0,16,12.8,0,0,16.5,53.2,42.6,32.9,26.4,8.5,6.8,0,0,1,0.8,0,0,88.4,70.8,5.5,4.4,5.8,124.9,77.7,65442,1,0.8,30.9,24.7,89.2,71.4,11.7,7.3,68444,"ANGLETON ISD"
"'020902002","STUDENT ALTERNATIVE CTR",6.7,39.7,17,0,0,4,23.6,13,13,10,1,0,13,76.4,1,0,1.8,10.8,84709,2,24.6,60350,1.7,21.5,61112,1.2,15.2,65952,2.1,26.4,65342,1,12.3,67414,0,0,.,0,0,5.8,71.6,0,0,2,24.6,0,0,8.5,5.2,64.4,0,0,0.2,2.8,0,0,5.5,2.9,35.6,0.3,3.7,0,0,0,0,2,24.6,0,0,8.1,100,0,0,6.7,8.1,47.9,63551,1,12.3,0,0,4.9,60.2,3,17.7,70109,"ANGLETON ISD"
"'020902003","BRAZORIA CO ALTER ED CTR",2.8,43.4,6.4,0,0,1,15.7,13,13,0,0,0,5.4,84.3,0,0,0.3,5.2,112746,1.1,20.8,67993,2.1,42.1,63084,1.8,35.5,61700,-2,1.6,-2,0,0,.,0,0,.,0,0,3.1,60.4,0,0,1,19.8,0,0,5.4,2.9,58.1,0,0,1.8,35,0,0,0.8,2.1,41.9,1,19.8,0,0,0,0,1,19.8,0,0,5.1,100,0,0,5.2,5.1,79.1,63707,1,19.8,0,0,1.3,25.4,0,0,.,"ANGLETON ISD"
"'020902004","BRAZORIA CO JUVENILE DETENTION",1,13.9,7.2,0,0,1,13.9,13,13,0,0,0,6.2,86.1,0,0,0.3,4.6,112746,1.9,33.3,58802,2.4,41.6,61254,1,16.6,61922,0.5,8.4,68858,0,0,.,0,0,.,0,0,4.8,82.9,0,0,0,0,0,0,5.1,4.8,82.6,0,0,0,0,0,0,5.1,1,17.4,1,17.1,0,0,0,0,0,0,0,0,5.8,100,0,0,5.1,5.8,81.4,61188,0,0,0,0,5.8,100,0,0,.,"ANGLETON ISD"
"'020902044","ANGLETON J H SCHOOL",47.9,36.3,132,0,1,18.4,14,9,4,2.8,2.8,0,113.5,86,4,0,7.9,6,82832,24,25.9,59000,38.2,41.2,61405,14,15.1,63254,8.4,9,67057,8,8.6,69455,0,0,.,1,1.1,74,79.9,0,0,11.1,12,0,0,5.7,61,65.9,3.8,4.2,18,19.4,0,0,16.9,31.6,34.1,18.4,19.9,0,0,0,0,0.1,0.1,0,0,74.5,80.6,10.7,11.5,4.3,92.5,70.1,62267,1,1.1,3.5,3.8,61.4,66.4,13.1,10,65795,"ANGLETON ISD"
"'020902102","NORTHSIDE EL",17.9,29.9,59.7,1,0,14.6,24.4,2,2,3,3,0,45.1,75.6,1,0,2.7,4.5,82528,8.5,25,62320,9.3,27.6,62265,8,23.7,62150,4,11.8,65339,4,11.8,67975,0,0,.,0,0,27.5,81.3,0,0,1,3,1,3,7,32.8,97,0,0,5.5,16.2,0,0,14.5,1,3,6.3,18.7,0,0,0,0,0,0,0,0,32.8,97,0,0,6.3,33.8,56.6,63291,0,0,0,0,27.3,80.9,8.6,14.5,67563,"ANGLETON ISD"
"'020902103","SOUTHSIDE EL",8.6,20.9,41.1,1,0,6,14.6,13,13,3,3,0,35.1,85.4,1,0,2.2,5.3,95470,7,26.1,63948,9.3,34.8,60457,1,3.7,61922,7,26.1,65493,2.5,9.3,67189,0,0,.,0,0,22.8,85.1,0,0,2,7.5,1,3.7,7.2,26.8,100,0,0,1.3,5,1,3.7,11.7,0,0,4,14.9,0,0,0,0,0,0,0,0,22.8,85.1,3,11.2,5.9,26.8,65.2,63363,4,14.9,0,0,18.5,68.9,6.1,14.9,68915,"ANGLETON ISD"
"'020902104","WESTSIDE EL",52.6,50.8,103.4,1,0,19,18.4,10,9.5,1.5,1.5,0,84.4,81.6,2,0,5.6,5.5,83208,7,10,60723,18.3,26.1,60924,22,31.3,63649,18,25.6,66444,3,4.3,68312,2,2.8,73490,0,0,56.3,80.1,32.9,46.8,4,5.7,4,5.7,9,64.3,91.5,0,0,27.3,38.9,0,0,14.3,6,8.5,14,19.9,0,0,0,0,0,0,0,0,26.4,37.5,7,10,8.4,70.3,68,63841,1,1.4,0,0,38,54,8.5,8.2,71638,"ANGLETON ISD"
"'020902108","RANCHO ISABELLA EL",9.1,20.4,44.6,1,0,7,15.7,0,0,7,7,0,37.6,84.3,1,0,2.2,4.9,77556,7,23.4,62914,11.3,38,62590,4,13.4,62634,5,16.8,67087,2.5,8.4,68027,0,0,.,0,0,23.8,79.9,0,0,1,3.4,2,6.7,7.1,28.8,96.6,0.4,1.3,2.3,7.8,0,0,13.9,1,3.4,6,20.1,0,0,0,0,0,0,0,0,25.4,85.3,2,6.7,6.3,29.8,66.9,63882,0,0,0,0,26.5,88.8,5.6,12.5,66629,"ANGLETON ISD"
"'020902109","FRONTIER EL",15.3,30.5,50,1,0,8,16,4,4,2,2,0,42,84,1,0,2.2,4.3,87290,8,24.7,59927,10.3,32,60602,5,15.5,62619,6,18.6,66421,2,6.2,68614,1,3.1,80030,0,0,26,80.4,0,0,0,0,2,6.2,7.8,32.3,100,2.4,7.4,6,18.6,1,3.1,13.6,0,0,6.3,19.6,0,0,0,0,0,0,0,0,26.9,83.3,1,3.1,6.8,32.3,64.7,62923,1,3.1,0,0,24.3,75.3,7.5,14.9,66736,"ANGLETON ISD"
"'020902110","CENTRAL EL",25.9,39.2,66.1,1,0,20.7,31.3,1,1,1,1,0,45.4,68.7,1,0,4.2,6.3,76620,5,15,62722,9.3,28,60524,5,15,62270,10,30,65768,2,6,68604,2,6,74313,0,0,29,87,0,0,1,3,1,3,9.9,31.3,94,0,0,9,27,0,0,15.8,2,6,4.3,13,0,0,0,0,0,0,0,0,29.4,88.1,3,8.9,8.7,33.3,50.4,64001,1,3,0,0,22.3,67,7.9,12,63132,"ANGLETON ISD"
"'020904001","DANBURY H S",3.4,11.5,29.2,0,1,3.3,11.4,4,1,1.5,1,0,25.9,88.6,1,0,1.7,5.8,82969,2,9.4,65171,8,37.8,62910,3.9,18.5,62406,4.6,21.6,67109,1.7,8,69740,1,4.7,75458,0.1,0.7,17.7,83.3,1,4.7,0,0,0,0,9.5,13.2,61.9,0,0,3.1,14.6,0,0,11.5,8.1,38.1,2.6,12,1,4.7,0,0,0,0,0,0,15.4,72.5,0.3,1.3,4.4,21.3,72.8,65071,0,0,4.6,21.5,18,84.7,2.9,9.9,41881,"DANBURY ISD"
"'020904002","BRAZORIA CO J J A E P",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DANBURY ISD"
"'020904041","DANBURY MIDDLE",2.7,16.2,16.6,0,1,2.3,14.1,4,1,1.5,1,0,14.2,85.9,0,0,1.7,10.2,82969,0,0,.,5.1,44.3,61778,2.5,21.3,62370,1.7,14.6,66295,1.3,11.2,68534,1,8.6,75458,0.9,7.4,11.2,96.2,0,0,0,0,0,0,9.5,8.7,74.4,0,0,1.7,14.6,0,0,14.3,3,25.6,0.4,3.8,0,0,0,0,0,0,0,0,9.8,84.6,1.3,10.9,4.6,11.6,70.2,64498,0,0,0.5,4.5,9.1,78,0.9,5.5,65493,"DANBURY ISD"
"'020904101","DANBURY EL",4,9.7,40.6,0,1,8.3,20.4,1,1,1,1,0,32.3,79.6,1,0,2.2,5.4,82892,0,0,.,6,21.6,59917,5,18,61297,12.8,46.1,65293,3,10.8,68984,1,3.6,74117,0,0,25.8,92.8,0,0,0,0,1,3.6,12.6,25.9,93,0,0,3,10.6,0,0,11.6,2,7,2,7.2,0,0,0,0,0,0,0,0,19.8,71.4,7,25,7.4,27.8,68.4,64130,1,3.6,0,0,23.9,85.8,2.3,5.7,69233,"DANBURY ISD"
"'020905001","BRAZOSPORT H S",38.9,34.8,111.9,1,0,13.9,12.4,1,1,4.7,4.7,0,98,87.6,6,0,5,4.5,100726,4.2,5.4,60435,14.3,18.5,61518,20.5,26.6,62353,22.6,29.3,65503,9.5,12.3,68302,6.1,7.9,74371,0,0,52.6,68.1,2,2.6,11.3,14.7,1.5,2,12.7,43.9,56.9,0,0,10.7,13.9,1,1.3,12.3,33.3,43.1,21.6,27.9,2,2.6,5.9,7.6,1,1.3,0,0,35.3,45.7,17.9,23.2,7.8,77.2,69,64699,0.1,0.2,14.6,18.9,54,69.9,15.8,14.1,73293,"BRAZOSPORT ISD"
"'020905002","BRAZOSWOOD H S",47.3,20.5,230.8,1,0,19.4,8.4,15,8,5.6,3.3,0,211.4,91.6,14,0,11,4.8,97446,23.4,13.8,59035,45.2,26.6,60098,31.6,18.6,62742,42.1,24.8,65096,19.5,11.5,70078,7.9,4.7,66158,1,0.6,125.4,73.8,2,1.2,8.5,5,8.1,4.8,10.7,97.1,57.2,0,0,24.9,14.7,1,0.6,14.1,72.8,42.8,34.7,20.4,7.9,4.6,13.2,7.8,1.9,1.1,0,0,90.9,53.5,23.3,13.7,6.5,169.8,73.6,63111,2.9,1.7,32.4,19.1,131.5,77.4,30.6,13.2,72588,"BRAZOSPORT ISD"
"'020905004","LIGHTHOUSE LEARNING CENTER - DAEP",7,29.3,23.9,0,0,5,20.9,3,3,0,0,0,18.9,79.1,0,1,1,4.2,109639,2,13.7,66400,5.9,40.3,60208,1.1,7.2,61111,4.6,31.3,64231,1.1,7.6,66790,0,0,.,0,0,12.5,85.3,0,0,1,6.8,1,6.8,9.4,11.5,78.4,0.9,5.9,2,13.7,0,0,6,3.2,21.6,2.1,14.7,0,0,0.3,1.8,0,0,0,0,11.8,81,0.7,4.4,7.3,14.6,61.2,62877,0,0,0,0,11.6,79.5,3.3,13.7,65071,"BRAZOSPORT ISD"
"'020905005","LIGHTHOUSE LEARNING CENTER - JJAEP",0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,100,0,0,0,0,.,0,0,.,0.6,100,68000,0,0,.,0,0,.,0,0,.,0,0,.,0,0,0.6,100,0,0,0,0,0,0,4,0.6,100,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.6,100,0,0,4,0.6,100,68000,0,0,0,0,0.6,100,0,0,.,"BRAZOSPORT ISD"
"'020905006","BRAZOS SUCCESS ACADEMY",6,35.3,17,0,0,2,11.8,3,3,0,0,0,15,88.2,1,0,1,5.9,98407,0,0,.,2,18.2,61425,2,18.2,62500,3,27.3,65700,2,18.2,69575,2,18.2,75313,0,0,7,63.6,0,0,1,9.1,0,0,19.5,10,90.9,0,0,2,18.2,0,0,9.7,1,9.1,2,18.2,0,0,0,0,2,18.2,0,0,10.7,97.1,0,0,9.5,11,64.7,66793,1,9.1,0.3,2.9,7,63.6,3,17.6,61481,"BRAZOSPORT ISD"
"'020905007","BRAZOS HARBOR",0.8,100,0.8,0,0,0,0,0,0,0,0,0,0.8,100,0,0,0,0,.,0,0,.,0,0,.,0,0,.,0.8,100,71212,0,0,.,0,0,.,0,0,0.8,100,0,0,0,0,0,0,17,0,0,0,0,0.8,100,0,0,1.2,0.8,100,0,0,0,0,0,0,0,0,0,0,0.6,70.5,0.1,14.7,7,0.8,100,71212,0,0,0.1,14.7,0,0,0,0,.,"BRAZOSPORT ISD"
"'020905041","CLUTE INT",39.6,42.1,94,1,0,13.8,14.7,9,9,4.7,4.7,0,80.2,85.3,2,0,4,4.3,89438,12.3,18.4,51519,17.6,26.3,60121,13,19.4,59314,16,24,62221,7.8,11.6,68422,0.2,0.2,59008,0,0,51.1,76.5,1,1.6,11,16.4,3.5,5.3,9,43.1,64.7,5.2,7.8,18.1,27.1,0,0,14.2,23.6,35.3,13.2,19.8,1.5,2.2,1.9,2.9,1,1.5,0,0,43.9,65.8,8.4,12.6,5.9,66.7,71,59850,2,3,2.7,4.1,35.6,53.4,9.5,10.1,66938,"BRAZOSPORT ISD"
"'020905042","FREEPORT INT",16,31.4,51,0,1,5,9.8,3,3,2.5,2.5,0,46,90.2,1,0,3,5.9,76921,7,18.4,58252,9.4,24.8,59833,5,13.3,61762,8.3,21.7,64521,5.3,14,68595,3,7.9,72531,0.9,2.3,30.2,79.3,2.3,6,6,15.8,3.2,8.4,10.9,25.1,65.9,2.9,7.6,5,13,0,0,11.2,13,34.1,6.9,18.1,1,2.6,0.5,1.4,0,0,0,0,21.6,56.6,3.6,9.3,7.7,38.1,74.6,63044,0,0,4,10.6,26.3,68.9,4.9,9.7,69923,"BRAZOSPORT ISD"
"'020905043","LAKE JACKSON INT",23.5,30.1,77.9,1,0,7.5,9.7,2,2,5.5,5.5,0,70.4,90.3,3,0,3,3.9,93674,17.4,30.7,53935,15.8,27.9,59966,8.9,15.6,57026,8.1,14.3,64361,5.7,10,62769,0.8,1.5,72565,0,0,41,72.4,3.4,6,3,5.4,2.9,5.1,7.2,42.3,74.6,5.9,10.4,10.5,18.5,0,0,15.3,14.4,25.4,14.1,24.9,1.5,2.7,0.9,1.5,0,0,0,0,29.1,51.3,9,15.9,4.9,56.7,72.8,58751,1,1.8,5.6,9.8,42.2,74.4,10.7,13.7,69527,"BRAZOSPORT ISD"
"'020905101","S F AUSTIN EL",8,25,32.1,1,0,4,12.5,3,3,0,0,0,28.1,87.5,1,0,1,3.1,90720,1.8,8.4,48754,3,14.2,59833,4.9,23,62197,7.6,36,65054,2.6,12.4,67192,1.3,5.9,74039,0,0,17.3,81.7,0,0,1,4.7,1.5,7.1,13.7,18.3,86.4,0.3,1.2,4.8,22.5,0,0,12.4,2.9,13.6,3.9,18.3,0,0,0,0,0,0,0,0,17.9,84.5,1.5,7.2,10.6,21.2,66,63079,0,0,0,0,15.4,72.8,5.9,18.4,62179,"BRAZOSPORT ISD"
"'020905102","A P BEUTEL EL",3.5,6.1,57.1,1,0,9.7,17,15,15,2,2,0,47.3,83,1,0,2,3.5,88606,2,5.1,59250,7.4,18.7,60398,8.9,22.4,61823,12.4,31.4,65079,6.9,17.4,67950,2,5.1,70900,0,0,33.5,84.8,0.5,1.3,0,0,3.3,8.2,13.7,39.5,100,0.7,1.7,1.5,3.8,0,0,13.6,0,0,6,15.2,0,0,0,0,0,0,0,0,34.1,86.3,1,2.5,11.7,39.5,69.3,63974,0,0,0,0,38,96.2,5.8,10.1,60533,"BRAZOSPORT ISD"
"'020905104","FREEPORT EL",37.3,57.2,65.3,1,0,18.3,27.9,8,8,7,7,0,47.1,72.1,1,0,2,3.1,82772,2.7,7.2,48162,9.7,25.4,56873,8.9,23.3,61118,7.9,20.7,65420,8.9,23.3,68128,0,0,.,0,0,31.5,82.9,7.9,20.7,4,10.5,2.7,7,11.5,33.5,88.2,0.4,1,16.8,44.2,0,0,15.1,4.5,11.8,6.5,17.1,0,0,0,0,0,0,0,0,21.4,56.2,5.7,15.1,8.9,38,58.2,61631,0,0,0,0,17.2,45.3,7.1,10.8,62862,"BRAZOSPORT ISD"
"'020905107","ELISABET NEY PRE-KINDERGARTEN CAMPUS",13.4,41.5,32.2,0,0,13.8,42.8,3,3,0,0,0,18.5,57.2,1,0,1,3.1,85300,1,7.4,59000,8,59.3,60063,1,7.4,60750,3.5,25.9,65271,0,0,.,0,0,.,0,0,10.5,77.8,0.5,3.7,0,0,1,7.4,6.3,13.5,100,0,0,7.5,55.6,0,0,15.3,0,0,3,22.2,0,0,0,0,0,0,0,0,8,59.3,4,29.6,4,13.5,41.9,61385,1,7.4,0,0,5,37,4,12.3,59005,"BRAZOSPORT ISD"
"'020905108","T W OGG EL",28.9,39.9,72.4,1,0,20.6,28.5,1,1,6,6,0,51.8,71.5,1,0,2,2.8,82114,6.9,15.5,55873,13.9,31.2,60579,11.9,26.7,61637,8.8,19.8,64839,2,4.5,68063,1,2.2,72565,0,0,38.6,86.8,6,13.5,4.9,11,3.6,8,8.4,38.5,86.5,2.3,5.2,10.9,24.4,0,0,14.1,6,13.5,5.9,13.2,0,0,0,0,0,0,0,0,27.6,62,5,11.2,5.2,44.5,61.4,61581,1,2.2,0,0,27.8,62.4,5.3,7.3,68763,"BRAZOSPORT ISD"
"'020905109","O M ROBERTS EL",9.5,15.2,62.4,1,0,12.9,20.6,6,6,9,8,0,49.5,79.4,1,0,2,3.2,86670,4,9.5,61563,8.5,20.1,60147,8.3,19.6,61661,10.9,25.7,61759,8.8,20.7,67689,1.9,4.4,71572,0,0,33.5,79.3,0.5,1.2,4,9.5,3,7.1,12.4,42.3,100,0.4,1,2.4,5.6,0,0,14.3,0,0,6.8,16,2,4.7,0,0,0,0,0,0,32.4,76.5,6,14.2,10.3,42.3,67.8,63059,0.9,2.1,0,0,35,82.9,5.2,8.4,65021,"BRAZOSPORT ISD"
"'020905110","VELASCO EL",19.9,50.5,39.5,0,1,10,25.3,5,1,3,3,0,29.5,74.7,1,0,2,5.1,83234,2,8.5,56829,2.9,12.4,60585,9.9,42,61645,4.8,20.2,64363,3,12.7,66917,1,4.2,75125,1,4.2,19.6,83,3.8,16.3,1.9,8,3.3,14,11.3,21.6,91.5,0.2,0.9,7.9,33.6,0,0,12.3,2,8.5,4,17,0,0,0,0,0,0,0,0,13.2,56.1,3,12.7,8.7,23.6,59.7,62897,0,0,0,0,12.8,54.2,3.9,9.9,64483,"BRAZOSPORT ISD"
"'020905111","BESS BRANNEN EL",9,14.6,61.7,1,0,9,14.6,21,21,3,3,0,52.7,85.4,1,0,2,3.2,90503,5,11,62335,11.9,26.2,60600,10.5,23.1,61869,15.4,33.9,64339,1,2.2,69275,1.6,3.6,72870,1,2.2,37.7,83.2,0.5,1.1,1,2.2,1.9,4.1,9.8,45.4,100,0.8,1.7,2.5,5.5,0,0,15.2,0,0,5.6,12.4,2,4.4,0,0,0,0,0,0,38.4,84.6,3.9,8.5,7.4,45.4,73.5,62982,1,2.2,0,0,39.9,87.9,5.4,8.7,62108,"BRAZOSPORT ISD"
"'020905113","GLADYS POLK EL",9.2,18.9,48.9,1,0,10.7,22,2,2,6,6,0,38.2,78,1,0,2,4.1,87872,3,9.6,60533,7.6,24.3,60266,10.9,34.7,62070,4.9,15.5,64156,3,9.6,67775,2,6.4,72688,0,0,26.5,84.5,0,0,1,3.2,2,6.4,10.3,30.4,96.8,0.4,1.2,1,3.2,0,0,12.9,1,3.2,4.9,15.5,0,0,0,0,0,0,0,0,26,82.9,3,9.6,8.9,31.4,64.1,63033,2,6.4,0,0,27.4,87.2,4.8,9.8,64880,"BRAZOSPORT ISD"
"'020905114","GRIFFITH EL",33.8,54.7,61.8,1,0,15.9,25.7,2,2,9,9,0,45.9,74.3,1,0,2,3.2,87103,3,7.7,59417,7,18.1,60143,11.8,30.3,59328,9.1,23.5,65003,5.9,15.2,67945,2,5.2,77219,0,0,31.8,81.9,10.9,28.1,1,2.6,2.3,6,12.9,37.8,97.4,0.6,1.6,20.1,51.9,0,0,13.9,1,2.6,7,18.1,0,0,0,0,0,0,0,0,21,54.1,4,10.2,10.3,38.8,62.7,63048,1,2.6,0,0,16.6,42.9,5.2,8.4,60539,"BRAZOSPORT ISD"
"'020905115","RASCO MIDDLE",15.7,21.9,71.8,1,0,11.3,15.7,1,1,3,2.3,0,60.6,84.3,2,0,4,5.6,81669,12.8,26.3,56573,9.1,18.7,55913,10,20.7,57863,6.5,13.4,64915,9.6,19.8,68337,0.5,1,75245,1,2.1,35.3,72.7,0,0,1,2.1,3.8,7.9,9.8,39.8,81.9,1.8,3.8,6.4,13.3,0,0,15,8.8,18.1,12.3,25.2,1,2.1,1.3,2.6,0,0,0,0,32.3,66.6,9.3,19.1,5.9,48.5,67.6,60361,0,0,0,0,40.1,82.5,8,11.2,69210,"BRAZOSPORT ISD"
"'020905116","O'HARA LANIER MIDDLE",17,39.3,43.3,0,1,11.3,26,1,1,5,2,0,32,74,1,0,2,4.6,88734,5,20,51258,9,36.3,60141,7,28,61408,2.9,11.7,64982,0,0,.,1,4,77897,0.1,0.5,21.1,84.5,3.4,13.8,1,4,2.9,11.5,6.7,19.6,78.5,0.6,2.2,9,36.1,0,0,13.6,5.4,21.5,1.9,7.5,2,8,0,0,0,0,0,0,14.1,56.5,4,15.9,5.3,24.9,57.6,59994,0,0,0,0,14.8,59.4,5.1,11.8,58302,"BRAZOSPORT ISD"
"'020906002","SWEENY H S",14.9,24.1,61.7,0,1,5,8.1,0,0,5,3,0,56.7,91.9,3,0,4,6.5,80288,4,8.4,58090,13,27.4,60078,8.6,18.2,62160,13.3,28.1,66330,6.2,13.1,74728,2.3,4.8,71081,0,0,29,61,0,0,5,10.5,0.2,0.5,12.1,24.6,51.8,0,0,3.6,7.6,0,0,12.4,22.9,48.2,8.6,18.2,8.9,18.7,1.6,3.3,1,2.1,1.3,2.7,40.4,85.2,1.5,3.2,5.4,47.5,77,64498,2,4.2,3.7,7.8,35.6,75,5.2,8.4,73790,"SWEENY ISD"
"'020906041","SWEENY J H",8.1,19.5,41.7,0,1,4,9.6,2,2,1,1,0,37.7,90.4,1,0,3,7.2,83001,1,3,57600,12,36.5,58479,8,24.3,63566,5,15.2,63845,4.9,14.9,68350,2,6.1,70600,0,0,23.7,72.1,0,0,3,9.1,0.8,2.5,11.1,24.9,75.7,0,0,2.4,7.3,0,0,13.5,8,24.3,3.2,9.6,6,18.2,1.2,3.5,0,0,0.7,2.2,26.5,80.6,1.8,5.4,5.3,32.9,78.9,62709,1,3,2.6,8,25.8,78.3,1.8,4.4,66732,"SWEENY ISD"
